vendor_name,date,product,amount
Bar de la FIB,2025-04-25,Cappuccino,3.50
Bar de la FIB,2025-04-25,Latte,4.00
Bar de la FIB,2025-04-26,Espresso,2.50
Bar de la FIB,2025-04-27,Croissant,2.75
Bar de la FIB,2025-04-28,Cold Brew,4.25
Bar de la FIB,2025-04-29,Mocha,4.50
Bar de la FIB,2025-05-01,Americano,3.00
Bar de la FIB,2025-05-02,Flat White,4.10
Revolut Store,2025-04-25,Card Sleeve,9.99
Revolut Store,2025-04-26,Sticker Pack,4.99
Revolut Store,2025-04-27,Phone Grip,7.49
Revolut Store,2025-04-28,Keychain,5.49
Revolut Store,2025-04-29,Tote Bag,12.00
